Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,age_cat,capital-gain_cat,capital-loss_cat,hours-per-week_cat,workclass_cat,education_cat,marital-status_cat,occupation_cat,relationship_cat,race_cat,sex_cat,native-country_cat,salary_label
0,39,sl-gov,77516,Bachelors,13,never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,north_america,<=50K,4,1,0,2,3,9,1,0,1,4,1,2,0
1,50,self-employed,83311,Bachelors,13,married,Exec-managerial,Husband,White,Male,0,0,13,north_america,<=50K,5,0,0,1,2,9,0,3,0,4,1,2,0
2,38,private,215646,HS-grad,9,not-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,north_america,<=50K,3,0,0,2,1,11,2,5,1,4,1,2,0
3,53,private,234721,11th,7,married,Handlers-cleaners,Husband,Black,Male,0,0,40,north_america,<=50K,5,0,0,2,1,1,0,5,0,2,1,2,0
4,28,private,338409,Bachelors,13,married,Prof-specialty,Wife,Black,Female,0,0,40,north_america,<=50K,2,0,0,2,1,9,0,9,5,2,0,2,0
5,37,private,284582,Masters,14,married,Exec-managerial,Wife,White,Female,0,0,40,north_america,<=50K,3,0,0,2,1,12,0,3,5,4,0,2,0
6,49,private,160187,9th,5,married,Other-service,Not-in-family,Black,Female,0,0,16,north_america,<=50K,5,0,0,1,1,6,0,7,1,2,0,2,0
7,52,self-employed,209642,HS-grad,9,married,Exec-managerial,Husband,White,Male,0,0,45,north_america,>50K,5,0,0,3,2,11,0,3,0,4,1,2,1
8,31,private,45781,Masters,14,never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,north_america,>50K,2,1,0,3,1,12,1,9,1,4,0,2,1
9,42,private,159449,Bachelors,13,married,Exec-managerial,Husband,White,Male,5178,0,40,north_america,>50K,4,1,0,2,1,9,0,3,0,4,1,2,1
10,37,private,280464,Some-college,10,married,Exec-managerial,Husband,Black,Male,0,0,80,north_america,>50K,3,0,0,5,1,15,0,3,0,2,1,2,1
11,30,sl-gov,141297,Bachelors,13,married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,asia,>50K,2,0,0,2,3,9,0,9,0,1,1,0,1
12,23,private,122272,Bachelors,13,never-married,Adm-clerical,Own-child,White,Female,0,0,30,north_america,<=50K,1,0,0,2,1,9,1,0,3,4,0,2,0
13,32,private,205019,Assoc-acdm,12,never-married,Sales,Not-in-family,Black,Male,0,0,50,north_america,<=50K,3,0,0,3,1,7,1,11,1,2,1,2,0
15,34,private,245487,7th-8th,4,married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,north_america,<=50K,3,0,0,3,1,5,0,13,0,0,1,2,0
16,25,self-employed,176756,HS-grad,9,never-married,Farming-fishing,Own-child,White,Male,0,0,35,north_america,<=50K,2,0,0,2,2,11,1,4,3,4,1,2,0
17,32,private,186824,HS-grad,9,never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,north_america,<=50K,3,0,0,2,1,11,1,6,4,4,1,2,0
18,38,private,28887,11th,7,married,Sales,Husband,White,Male,0,0,50,north_america,<=50K,3,0,0,3,1,1,0,11,0,4,1,2,0
19,43,self-employed,292175,Masters,14,not-married,Exec-managerial,Unmarried,White,Female,0,0,45,north_america,>50K,4,0,0,3,2,12,2,3,4,4,0,2,1
20,40,private,193524,Doctorate,16,married,Prof-specialty,Husband,White,Male,0,0,60,north_america,>50K,4,0,0,4,1,10,0,9,0,4,1,2,1
21,54,private,302146,HS-grad,9,not-married,Other-service,Unmarried,Black,Female,0,0,20,north_america,<=50K,6,0,0,1,1,11,2,7,4,2,0,2,0
22,35,federal-gov,76845,9th,5,married,Farming-fishing,Husband,Black,Male,0,0,40,north_america,<=50K,3,0,0,2,0,6,0,4,0,2,1,2,0
23,43,private,117037,11th,7,married,Transport-moving,Husband,White,Male,0,2042,40,north_america,<=50K,4,0,2,2,1,1,0,13,0,4,1,2,0
24,59,private,109015,HS-grad,9,not-married,Tech-support,Unmarried,White,Female,0,0,40,north_america,<=50K,6,0,0,2,1,11,2,12,4,4,0,2,0
25,56,sl-gov,216851,Bachelors,13,married,Tech-support,Husband,White,Male,0,0,40,north_america,>50K,6,0,0,2,3,9,0,12,0,4,1,2,1
26,19,private,168294,HS-grad,9,never-married,Craft-repair,Own-child,White,Male,0,0,40,north_america,<=50K,1,0,0,2,1,11,1,2,3,4,1,2,0
28,39,private,367260,HS-grad,9,not-married,Exec-managerial,Not-in-family,White,Male,0,0,80,north_america,<=50K,4,0,0,5,1,11,2,3,1,4,1,2,0
29,49,private,193366,HS-grad,9,married,Craft-repair,Husband,White,Male,0,0,40,north_america,<=50K,5,0,0,2,1,11,0,2,0,4,1,2,0
30,23,sl-gov,190709,Assoc-acdm,12,never-married,Protective-serv,Not-in-family,White,Male,0,0,52,north_america,<=50K,1,0,0,3,3,7,1,10,1,4,1,2,0
31,20,private,266015,Some-college,10,never-married,Sales,Own-child,Black,Male,0,0,44,north_america,<=50K,1,0,0,3,1,15,1,11,3,2,1,2,0
32,45,private,386940,Bachelors,13,not-married,Exec-managerial,Own-child,White,Male,0,1408,40,north_america,<=50K,4,0,1,2,1,9,2,3,3,4,1,2,0
33,30,federal-gov,59951,Some-college,10,married,Adm-clerical,Own-child,White,Male,0,0,40,north_america,<=50K,2,0,0,2,0,15,0,0,3,4,1,2,0
34,22,sl-gov,311512,Some-college,10,married,Other-service,Husband,Black,Male,0,0,15,north_america,<=50K,1,0,0,1,3,15,0,7,0,2,1,2,0
35,48,private,242406,11th,7,never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,north_america,<=50K,5,0,0,2,1,1,1,6,4,4,1,2,0
36,21,private,197200,Some-college,10,never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,north_america,<=50K,1,0,0,2,1,15,1,6,3,4,1,2,0
37,19,private,544091,HS-grad,9,married,Adm-clerical,Wife,White,Female,0,0,25,north_america,<=50K,1,0,0,2,1,11,0,0,5,4,0,2,0
39,48,self-employed,265477,Assoc-acdm,12,married,Prof-specialty,Husband,White,Male,0,0,40,north_america,<=50K,5,0,0,2,2,7,0,9,0,4,1,2,0
40,31,private,507875,9th,5,married,Machine-op-inspct,Husband,White,Male,0,0,43,north_america,<=50K,2,0,0,3,1,6,0,6,0,4,1,2,0
41,53,self-employed,88506,Bachelors,13,married,Prof-specialty,Husband,White,Male,0,0,40,north_america,<=50K,5,0,0,2,2,9,0,9,0,4,1,2,0
42,24,private,172987,Bachelors,13,married,Tech-support,Husband,White,Male,0,0,50,north_america,<=50K,1,0,0,3,1,9,0,12,0,4,1,2,0
43,49,private,94638,HS-grad,9,not-married,Adm-clerical,Unmarried,White,Female,0,0,40,north_america,<=50K,5,0,0,2,1,11,2,0,4,4,0,2,0
44,25,private,289980,HS-grad,9,never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,north_america,<=50K,2,0,0,2,1,11,1,5,1,4,1,2,0
45,57,federal-gov,337895,Bachelors,13,married,Prof-specialty,Husband,Black,Male,0,0,40,north_america,>50K,6,0,0,2,0,9,0,9,0,2,1,2,1
46,53,private,144361,HS-grad,9,married,Machine-op-inspct,Husband,White,Male,0,0,38,north_america,<=50K,5,0,0,2,1,11,0,6,0,4,1,2,0
47,44,private,128354,Masters,14,not-married,Exec-managerial,Unmarried,White,Female,0,0,40,north_america,<=50K,4,0,0,2,1,12,2,3,4,4,0,2,0
